Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
New England,2016,1,600,,426,,125,,28,,12,,9,,47,,,
Mid. Atlantic,2016,1,807,,563,,181,,32,,13,,18,,32,,,
E.N. Central,2016,1,2468,,1611,,594,,167,,62,,34,,159,,,
W.N. Central,2016,1,634,,432,,150,,31,,9,,11,,37,,,
S. Atlantic,2016,1,1402,,893,,343,,92,,32,,41,,88,,,
E.S. Central,2016,1,1230,,790,,296,,97,,22,,25,,76,,,
W.S. Central,2016,1,2167,,1408,,542,,148,,40,,29,,124,,,
Mountain,2016,1,1460,,997,,316,,103,,26,,18,,95,,,
Pacific,2016,1,2021,,1480,,401,,99,,26,,15,,156,,,
Total,2016,1,12789,,8600,,2948,,797,,242,,200,,814,,,
"St. Petersburg, FL",2016,1,86,,62,,15,,4,,3,,2,,5,,"St. Petersburg, FL (27.772069, -82.638488)",
"Nashville, TN",2016,1,227,,143,,57,,21,,5,,1,,7,,"Nashville, TN (36.166687, -86.779932)",
"Washington, D.C.",2016,1,111,,62,,35,,9,,,-,5,,12,,"Washington, D.C. (38.892062, -77.019912)",
"Kansas City, MO",2016,1,59,,31,,17,,7,,2,,1,,3,,"Kansas City, MO (39.099792, -94.578559)",
"Sacramento, CA",2016,1,300,,203,,64,,25,,5,,3,,21,,"Sacramento, CA (38.582087, -121.50012)",
"Honolulu, HI",2016,1,56,,43,,7,,6,,,-,,-,5,,"Honolulu, HI (21.30992, -157.858158)",
"New York City, NY",2016,1,,U,,U,,U,,U,,U,,U,,U,"New York City, NY (40.123164, -75.333718)",
"Paterson, NJ",2016,1,21,,12,,5,,1,,1,,2,,,-,"Paterson, NJ (40.916612, -74.172191)",
"Gary, IN",2016,1,24,,14,,7,,2,,1,,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Baltimore, MD",2016,1,228,,126,,63,,18,,8,,12,,14,,"Baltimore, MD (39.290443, -76.612333)",
"Philadelphia, PA",2016,1,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Dayton, OH",2016,1,180,,125,,34,,16,,3,,2,,12,,"Dayton, OH (39.760982, -84.192203)",
"Corpus Christi, TX",2016,1,62,,45,,12,,3,,,-,2,,7,,"Corpus Christi, TX (27.796416, -97.404131)",
"Charlotte, NC",2016,1,196,,130,,48,,8,,7,,3,,12,,"Charlotte, NC (35.222936, -80.840161)",
"Utica, NY",2016,1,18,,16,,2,,,-,,-,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Denver, CO",2016,1,40,,26,,9,,5,,,-,,-,1,,"Denver, CO (39.738453, -104.984853)",
"Little Rock, AR",2016,1,115,,62,,40,,8,,4,,1,,13,,"Little Rock, AR (34.748745, -92.275105)",
"Omaha, NE",2016,1,113,,71,,32,,6,,3,,1,,7,,"Omaha, NE (46.07035, -93.666319)",
"Des Moines, IA",2016,1,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"San Diego, CA",2016,1,201,,148,,37,,12,,3,,1,,14,,"San Diego, CA (32.71576, -117.163817)",
"San Jose, CA",2016,1,272,,210,,49,,9,,3,,1,,15,,"San Jose, CA (35.398134, -105.477067)",
"Santa Cruz, CA",2016,1,48,,41,,6,,1,,,-,,-,5,,"Santa Cruz, CA (32.71576, -117.163817)",
"Fresno, CA",2016,1,167,,125,,35,,5,,,-,2,,17,,"Fresno, CA (36.731654, -119.785856)",
"Indianapolis, IN",2016,1,229,,135,,59,,22,,9,,4,,21,,"Indianapolis, IN (39.76845, -86.156212)",
"New Haven, CT",2016,1,53,,39,,9,,2,,2,,1,,4,,"New Haven, CT (42.856701, -78.741699)",
"Dallas, TX",2016,1,315,,186,,86,,29,,10,,4,,15,,"Dallas, TX (37.691113, -122.472221)",
"San Antonio, TX",2016,1,666,,471,,146,,40,,6,,3,,50,,"San Antonio, TX (29.425173, -98.494599)",
"Toledo, OH",2016,1,61,,43,,10,,7,,,-,1,,6,,"Toledo, OH (41.655298, -83.535717)",
"Minneapolis, MN",2016,1,81,,51,,21,,3,,,-,6,,3,,"Minneapolis, MN (44.977479, -93.264346)",
"Columbus, OH",2016,1,295,,189,,62,,28,,7,,9,,16,,"Columbus, OH (39.920765, -82.80058)",
"Salt Lake City, UT",2016,1,178,,125,,40,,12,,,-,1,,18,,"Salt Lake City, UT (40.758478, -111.888142)",
"Seattle, WA",2016,1,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Yonkers, NY",2016,1,21,,19,,1,,,-,,-,1,,4,,"Yonkers, NY (40.932014, -73.896052)",
"Tulsa, OK",2016,1,144,,92,,41,,7,,2,,2,,8,,"Tulsa, OK (61.096484, -160.967455)",
"Richmond, VA",2016,1,46,,26,,15,,2,,2,,1,,3,,"Richmond, VA (37.540759, -77.433932)",
"Camden, NJ",2016,1,26,,12,,11,,1,,,-,2,,1,,"Camden, NJ (39.945208, -75.118833)",
"Duluth, MN",2016,1,33,,26,,7,,,-,,-,,-,1,,"Duluth, MN (28.917512, -81.221278)",
"Miami, FL",2016,1,69,,50,,13,,4,,1,,1,,1,,"Miami, FL (44.977479, -93.264346)",
"Memphis, TN",2016,1,214,,138,,53,,17,,2,,4,,9,,"Memphis, TN (35.143378, -90.052136)",
"Glendale, CA",2016,1,39,,32,,6,,1,,,-,,-,8,,"Glendale, CA (34.148138, -118.246437)",
"Scranton, PA",2016,1,29,,21,,6,,,-,,-,2,,1,,"Scranton, PA (41.409113, -75.662346)",
"Portland, OR",2016,1,105,,71,,26,,3,,3,,2,,1,,"Portland, OR (45.516018, -122.681425)",
"Colorado Springs, CO",2016,1,77,,43,,20,,6,,7,,1,,3,,"Colorado Springs, CO (38.835224, -104.819798)",
"Somerville, MA",2016,1,,U,,U,,U,,U,,U,,U,,U,"Somerville, MA (42.389121, -71.097145)",
"Chicago, IL",2016,1,282,,163,,89,,19,,8,,3,,24,,"Chicago, IL (41.775002, -87.696388)",
"St. Louis, MO",2016,1,53,,29,,15,,7,,1,,1,,3,,"St. Louis, MO (38.630276, -90.200309)",
"Lincoln, NC",2016,1,64,,49,,11,,4,,,-,,-,3,,"Lincoln, NC (40.813599, -96.70261)",
"Youngstown, OH",2016,1,67,,48,,17,,2,,,-,,-,2,,"Youngstown, OH (41.100083, -80.649387)",
"Hartford, CT",2016,1,66,,45,,15,,4,,1,,1,,5,,"Hartford, CT (41.765775, -72.673356)",
"Cleveland, OH",2016,1,275,,201,,56,,12,,5,,1,,11,,"Cleveland, OH (41.505546, -81.6915)",
"Long Beach, CA",2016,1,72,,51,,17,,4,,,-,,-,7,,"Long Beach, CA (33.767168, -118.193723)",
"Montgomery, AL",2016,1,90,,63,,22,,3,,1,,1,,11,,"Montgomery, AL (32.376547, -86.299651)",
"Allentown, PA",2016,1,30,,23,,6,,,-,1,,,-,2,,"Allentown, PA (40.602753, -75.469759)",
"St. Paul, MN",2016,1,79,,59,,19,,1,,,-,,-,4,,"St. Paul, MN (44.943719, -93.094281)",
"Elizabeth, NJ",2016,1,17,,10,,5,,1,,,-,1,,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"New Orleans, LA",2016,1,54,,26,,19,,6,,2,,1,,,-,"New Orleans, LA (29.950621, -90.074948)",
"Worcester, MA",2016,1,62,,45,,11,,4,,,-,2,,10,,"Worcester, MA (42.262073, -71.802278)",
"Jacksonville, FL",2016,1,215,,134,,54,,23,,2,,2,,17,,"Jacksonville, FL (30.325968, -81.65676)",
"Trenton, NJ",2016,1,23,,17,,4,,2,,,-,,-,,-,"Trenton, NJ (40.220572, -74.759709)",
"Tampa, FL",2016,1,132,,84,,28,,8,,4,,8,,6,,"Tampa, FL (37.8606, -78.804199)",
"Milwaukee, WI",2016,1,122,,77,,35,,7,,3,,,-,,-,"Milwaukee, WI (43.041072, -87.909421)",
"Tacoma, WA",2016,1,150,,114,,28,,6,,,-,2,,14,,"Tacoma, WA (32.221878, -110.971225)",
"Springfield, MA",2016,1,46,,29,,14,,2,,,-,1,,,-,"Springfield, MA (39.79936, -89.643624)",
"Ogden, UT",2016,1,47,,38,,8,,,-,1,,,-,4,,"Ogden, UT (41.222761, -111.970419)",
"Waterbury, CT",2016,1,41,,32,,6,,1,,,-,2,,2,,"Waterbury, CT (41.554261, -73.043069)",
"Albany, NY",2016,1,52,,33,,16,,1,,,-,2,,2,,"Albany, NY (42.651242, -73.755418)",
"Knoxville, TN",2016,1,129,,83,,33,,7,,2,,4,,9,,"Knoxville, TN (35.962631, -83.916677)",
"Schenectady, NY",2016,1,20,,15,,4,,1,,,-,,-,,-,"Schenectady, NY (42.814219, -73.944103)",
"New Bedford, MA",2016,1,27,,19,,7,,,-,1,,,-,1,,"New Bedford, MA (41.63405, -70.92766)",
"Lansing, MI",2016,1,86,,57,,18,,6,,5,,,-,9,,"Lansing, MI (42.733625, -84.553927)",
"Pueblo, CO",2016,1,16,,12,,2,,2,,,-,,-,1,,"Pueblo, CO (28.151559, -82.351822)",
"Detroit, MI",2016,1,225,,128,,64,,19,,10,,4,,10,,"Detroit, MI (42.332916, -83.047853)",
"Kansas City, KS",2016,1,39,,26,,10,,2,,1,,,-,1,,"Kansas City, KS (39.099792, -94.578559)",
"Erie, PA",2016,1,60,,45,,14,,1,,,-,,-,5,,"Erie, PA (34.1647, -114.300301)",
"Akron, OH",2016,1,43,,23,,14,,5,,1,,,-,4,,"Akron, OH (41.084821, -81.515607)",
"Rochester, NY",2016,1,175,,134,,33,,5,,2,,1,,4,,"Rochester, NY (43.155708, -77.612547)",
"Newark, NJ",2016,1,65,,36,,18,,7,,4,,,-,,-,"Newark, NJ (41.433057, -71.460182)",
"Albuquerque, NM",2016,1,175,,114,,38,,15,,4,,4,,16,,"Albuquerque, NM (35.084248, -106.649241)",
"Lynn, MA",2016,1,13,,8,,1,,3,,1,,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Chattanooga, TN",2016,1,144,,94,,35,,9,,2,,4,,8,,"Chattanooga, TN (35.045756, -85.308287)",
"Providence, RI",2016,1,37,,27,,9,,1,,,-,,-,3,,"Providence, RI (41.824461, -71.412747)",
"Rockford, IL",2016,1,72,,52,,13,,5,,1,,1,,2,,"Rockford, IL (42.266802, -89.088377)",
"Fall River, MA",2016,1,32,,27,,2,,2,,1,,,-,4,,"Fall River, MA (41.701025, -71.155389)",
"Bridgeport, CT",2016,1,11,,10,,1,,,-,,-,,-,,-,"Bridgeport, CT (41.179195, -73.189476)",
"Los Angeles, CA",2016,1,327,,232,,67,,17,,10,,1,,28,,"Los Angeles, CA (34.052238, -118.243344)",
"Cambridge, MA",2016,1,22,,19,,3,,,-,,-,,-,3,,"Cambridge, MA (42.365248, -71.105015)",
"Pittsburgh, PA_",2016,1,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Wilmington, DE",2016,1,9,,7,,2,,,-,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Baton Rouge, LA",2016,1,114,,70,,23,,12,,5,,4,,7,,"Baton Rouge, LA (30.443319, -91.187488)",
"Shreveport, LA",2016,1,106,,71,,27,,2,,3,,3,,7,,"Shreveport, LA (32.51424, -93.747757)",
"Cincinnati, OH",2016,1,96,,58,,30,,5,,2,,1,,3,,"Cincinnati, OH (39.104427, -84.513808)",
"San Francisco, CA",2016,1,143,,103,,33,,6,,,-,1,,10,,"San Francisco, CA (37.78008, -122.420168)",
"Canton, OH",2016,1,29,,23,,4,,2,,,-,,-,3,,"Canton, OH (39.945208, -75.118833)",
"Buffalo, NY",2016,1,87,,51,,23,,7,,3,,3,,2,,"Buffalo, NY (39.945422, -78.64671)",
"Berkeley, CA",2016,1,19,,18,,1,,,-,,-,,-,4,,"Berkeley, CA (40.692529, -73.990996)",
"Boise, ID",2016,1,85,,66,,15,,3,,,-,1,,5,,"Boise, ID (43.597772, -83.884521)",
"Boston, MA",2016,1,170,,110,,44,,8,,6,,2,,12,,"Boston, MA (42.358894, -71.056742)",
"Pasadena, CA",2016,1,30,,22,,6,,1,,,-,1,,2,,"Pasadena, CA (34.14955, -118.141452)",
"Norfolk, VA",2016,1,42,,34,,6,,,-,2,,,-,5,,"Norfolk, VA (36.846164, -76.285913)",
"El Paso, TX",2016,1,140,,101,,27,,11,,,-,1,,1,,"El Paso, TX (31.76006, -106.492257)",
"Mobile, AL",2016,1,118,,85,,24,,6,,2,,1,,3,,"Mobile, AL (34.661541, -77.695461)",
"Wichita, KS",2016,1,113,,90,,18,,1,,2,,2,,12,,"Wichita, KS (39.960481, -75.605214)",
"Evansville, IN",2016,1,72,,49,,20,,,-,2,,1,,8,,"Evansville, IN (37.975708, -87.569907)",
"Savannah, GA",2016,1,119,,76,,28,,9,,1,,5,,8,,"Savannah, GA (40.115007, -111.654713)",
"Syracuse, NY",2016,1,103,,81,,14,,4,,1,,3,,6,,"Syracuse, NY (43.047945, -76.147448)",
"Lexington, KY",2016,1,98,,61,,22,,10,,1,,4,,11,,"Lexington, KY (34.052238, -118.243344)",
"Fort Worth, TX",2016,1,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Fort Wayne, IN",2016,1,101,,81,,16,,2,,1,,1,,9,,"Fort Wayne, IN (41.331128, -73.987189)",
"Lowell, MA",2016,1,20,,16,,3,,1,,,-,,-,3,,"Lowell, MA (40.672798, -76.279404)",
"Reading, PA",2016,1,45,,28,,14,,1,,1,,1,,3,,"Reading, PA (40.336919, -75.921965)",
"Houston, TX",2016,1,351,,220,,95,,24,,7,,5,,9,,"Houston, TX (29.760803, -95.369506)",
"Peoria, IL",2016,1,87,,60,,23,,1,,,-,3,,10,,"Peoria, IL (32.283586, -90.10038)",
"Grand Rapids, MI",2016,1,68,,45,,17,,3,,2,,1,,8,,"Grand Rapids, MI (47.925705, -97.036068)",
"Atlanta, GA",2016,1,149,,102,,36,,7,,2,,2,,4,,"Atlanta, GA (33.748547, -84.391502)",
"Jersey City, NJ",2016,1,15,,10,,5,,,-,,-,,-,1,,"Jersey City, NJ (40.717495, -74.044111)",
"Austin, TX",2016,1,100,,64,,26,,6,,1,,3,,7,,"Austin, TX (30.264979, -97.746598)",
"Birmingham, AL",2016,1,210,,123,,50,,24,,7,,6,,18,,"Birmingham, AL (33.522859, -86.807705)",
"South Bend, IN",2016,1,54,,40,,6,,4,,2,,2,,1,,"South Bend, IN (41.675032, -86.251962)",
"Phoenix, AZ",2016,1,231,,147,,53,,15,,7,,9,,15,,"Phoenix, AZ (30.406931, -87.217578)",
"Las Vegas, NV",2016,1,396,,267,,88,,35,,4,,2,,29,,"Las Vegas, NV (36.169202, -115.140597)",
"Tucson, AZ",2016,1,215,,159,,43,,10,,3,,,-,3,,"Tucson, AZ (35.167852, -103.726151)",
"Spokane, WA",2016,1,92,,67,,19,,3,,2,,1,,5,,"Spokane, WA (47.658999, -117.425022)",
New England,2016,2,572,,402,,121,,31,,11,,7,,42,,,
Mid. Atlantic,2016,2,1045,,772,,205,,46,,12,,10,,64,,,
E.N. Central,2016,2,2447,,1620,,598,,136,,41,,52,,172,,,
W.N. Central,2016,2,630,,407,,153,,34,,12,,23,,52,,,
S. Atlantic,2016,2,1243,,814,,296,,82,,28,,23,,98,,,
E.S. Central,2016,2,1186,,803,,281,,68,,19,,15,,105,,,
W.S. Central,2016,2,1434,,937,,361,,87,,24,,24,,99,,,
Mountain,2016,2,1188,,851,,236,,66,,23,,11,,85,,,
Pacific,2016,2,1963,,1420,,405,,95,,21,,21,,168,,,
Total_,2016,2,11708,,8026,,2656,,645,,191,,186,,885,,,
"Waterbury, CT",2016,2,37,,25,,9,,2,,1,,,-,5,,"Waterbury, CT (41.554261, -73.043069)",
"Little Rock, AR",2016,2,88,,60,,18,,4,,2,,4,,13,,"Little Rock, AR (34.748745, -92.275105)",
"Pittsburgh, PA_",2016,2,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Paterson, NJ",2016,2,16,,15,,1,,,-,,-,,-,3,,"Paterson, NJ (40.916612, -74.172191)",
"St. Petersburg, FL",2016,2,64,,40,,21,,2,,1,,,-,4,,"St. Petersburg, FL (27.772069, -82.638488)",
"San Diego, CA",2016,2,,U,,U,,U,,U,,U,,U,,U,"San Diego, CA (32.71576, -117.163817)",
"Schenectady, NY",2016,2,27,,22,,5,,,-,,-,,-,1,,"Schenectady, NY (42.814219, -73.944103)",
"Cincinnati, OH",2016,2,70,,48,,15,,5,,1,,1,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"South Bend, IN",2016,2,56,,37,,11,,2,,,-,6,,6,,"South Bend, IN (41.675032, -86.251962)",
"Lowell, MA",2016,2,26,,20,,6,,,-,,-,,-,3,,"Lowell, MA (40.672798, -76.279404)",
"Rockford, IL",2016,2,57,,43,,11,,2,,1,,,-,3,,"Rockford, IL (42.266802, -89.088377)",
"Albuquerque, NM",2016,2,113,,86,,21,,3,,3,,,-,10,,"Albuquerque, NM (35.084248, -106.649241)",
"Des Moines, IA",2016,2,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Baton Rouge, LA",2016,2,105,,74,,24,,3,,1,,3,,4,,"Baton Rouge, LA (30.443319, -91.187488)",
"Tacoma, WA",2016,2,142,,110,,26,,5,,,-,1,,7,,"Tacoma, WA (32.221878, -110.971225)",
"Evansville, IN",2016,2,56,,35,,18,,1,,2,,,-,4,,"Evansville, IN (37.975708, -87.569907)",
"Reading, PA",2016,2,31,,25,,5,,,-,1,,,-,3,,"Reading, PA (40.336919, -75.921965)",
"Mobile, AL",2016,2,117,,72,,38,,1,,4,,2,,7,,"Mobile, AL (34.661541, -77.695461)",
"Honolulu, HI",2016,2,90,,68,,20,,2,,,-,,-,20,,"Honolulu, HI (21.30992, -157.858158)",
"Minneapolis, MN",2016,2,80,,40,,23,,10,,2,,5,,6,,"Minneapolis, MN (44.977479, -93.264346)",
"Savannah, GA",2016,2,65,,40,,13,,3,,4,,5,,7,,"Savannah, GA (40.115007, -111.654713)",
"Fort Worth, TX",2016,2,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"New York City, NY",2016,2,365,,276,,68,,17,,2,,2,,18,,"New York City, NY (40.123164, -75.333718)",
"Lexington, KY",2016,2,70,,50,,13,,6,,1,,,-,6,,"Lexington, KY (34.052238, -118.243344)",
"New Bedford, MA",2016,2,21,,14,,5,,1,,1,,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Canton, OH",2016,2,53,,38,,12,,2,,,-,1,,5,,"Canton, OH (39.945208, -75.118833)",
"Long Beach, CA",2016,2,91,,62,,19,,7,,1,,2,,8,,"Long Beach, CA (33.767168, -118.193723)",
"Salt Lake City, UT",2016,2,,U,,U,,U,,U,,U,,U,,U,"Salt Lake City, UT (40.758478, -111.888142)",
"Trenton, NJ",2016,2,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ (40.220572, -74.759709)",
"Houston, TX",2016,2,243,,130,,84,,21,,6,,2,,7,,"Houston, TX (29.760803, -95.369506)",
"San Antonio, TX",2016,2,47,,30,,13,,3,,1,,,-,21,,"San Antonio, TX (29.425173, -98.494599)",
"Kansas City, MO",2016,2,68,,42,,19,,2,,3,,2,,9,,"Kansas City, MO (39.099792, -94.578559)",
"Memphis, TN",2016,2,202,,134,,42,,20,,4,,2,,19,,"Memphis, TN (35.143378, -90.052136)",
"New Orleans, LA",2016,2,94,,54,,25,,11,,2,,2,,,-,"New Orleans, LA (29.950621, -90.074948)",
"Phoenix, AZ",2016,2,219,,144,,40,,23,,6,,5,,19,,"Phoenix, AZ (30.406931, -87.217578)",
"Sacramento, CA",2016,2,304,,230,,49,,16,,5,,4,,16,,"Sacramento, CA (38.582087, -121.50012)",
"Peoria, IL",2016,2,76,,54,,16,,4,,,-,2,,11,,"Peoria, IL (32.283586, -90.10038)",
"Montgomery, AL",2016,2,139,,98,,36,,3,,1,,1,,12,,"Montgomery, AL (32.376547, -86.299651)",
"Santa Cruz, CA",2016,2,26,,20,,3,,2,,1,,,-,1,,"Santa Cruz, CA (32.71576, -117.163817)",
"Albany, NY",2016,2,58,,49,,6,,,-,1,,2,,8,,"Albany, NY (42.651242, -73.755418)",
"Dallas, TX",2016,2,270,,171,,69,,17,,8,,4,,15,,"Dallas, TX (37.691113, -122.472221)",
"Tucson, AZ",2016,2,186,,149,,32,,2,,2,,1,,4,,"Tucson, AZ (35.167852, -103.726151)",
"Springfield, MA",2016,2,34,,23,,7,,3,,1,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Syracuse, NY",2016,2,53,,38,,11,,1,,1,,2,,5,,"Syracuse, NY (43.047945, -76.147448)",
"Youngstown, OH",2016,2,60,,44,,11,,3,,2,,,-,2,,"Youngstown, OH (41.100083, -80.649387)",
"Hartford, CT",2016,2,58,,43,,12,,1,,2,,,-,3,,"Hartford, CT (41.765775, -72.673356)",
"Boston, MA",2016,2,154,,93,,42,,10,,4,,5,,7,,"Boston, MA (42.358894, -71.056742)",
"St. Paul, MN",2016,2,70,,41,,17,,8,,1,,2,,2,,"St. Paul, MN (44.943719, -93.094281)",
"Norfolk, VA",2016,2,51,,34,,13,,3,,,-,1,,1,,"Norfolk, VA (36.846164, -76.285913)",
"Scranton, PA",2016,2,31,,27,,4,,,-,,-,,-,,-,"Scranton, PA (41.409113, -75.662346)",
"Toledo, OH",2016,2,110,,79,,22,,2,,3,,4,,5,,"Toledo, OH (41.655298, -83.535717)",
"Cambridge, MA",2016,2,18,,16,,2,,,-,,-,,-,1,,"Cambridge, MA (42.365248, -71.105015)",
"Akron, OH",2016,2,61,,37,,14,,5,,1,,4,,3,,"Akron, OH (41.084821, -81.515607)",
"Grand Rapids, MI",2016,2,82,,46,,26,,3,,3,,4,,7,,"Grand Rapids, MI (47.925705, -97.036068)",
"Kansas City, KS",2016,2,32,,24,,7,,,-,1,,,-,2,,"Kansas City, KS (39.099792, -94.578559)",
"Worcester, MA",2016,2,62,,49,,10,,1,,,-,2,,9,,"Worcester, MA (42.262073, -71.802278)",
"Detroit, MI",2016,2,177,,100,,51,,16,,6,,4,,13,,"Detroit, MI (42.332916, -83.047853)",
"Washington, D.C.",2016,2,116,,72,,27,,11,,3,,3,,10,,"Washington, D.C. (38.892062, -77.019912)",
"Austin, TX",2016,2,133,,95,,24,,9,,1,,4,,7,,"Austin, TX (30.264979, -97.746598)",
"Seattle, WA",2016,2,,U,,U,,U,,U,,U,,U,,U,"Seattle, WA (47.603229, -122.33028)",
"Newark, NJ",2016,2,42,,19,,15,,7,,1,,,-,,-,"Newark, NJ (41.433057, -71.460182)",
"Las Vegas, NV",2016,2,424,,297,,96,,22,,8,,1,,36,,"Las Vegas, NV (36.169202, -115.140597)",
"San Jose, CA",2016,2,258,,195,,50,,7,,4,,1,,24,,"San Jose, CA (35.398134, -105.477067)",
"Erie, PA",2016,2,56,,38,,12,,4,,1,,1,,1,,"Erie, PA (34.1647, -114.300301)",
"Allentown, PA",2016,2,31,,25,,4,,2,,,-,,-,1,,"Allentown, PA (40.602753, -75.469759)",
"Pasadena, CA",2016,2,31,,24,,5,,,-,1,,1,,4,,"Pasadena, CA (34.14955, -118.141452)",
"Jacksonville, FL",2016,2,183,,125,,44,,8,,4,,2,,14,,"Jacksonville, FL (30.325968, -81.65676)",
"Charlotte, NC",2016,2,156,,115,,29,,10,,2,,,-,14,,"Charlotte, NC (35.222936, -80.840161)",
"Camden, NJ",2016,2,27,,19,,7,,,-,1,,,-,1,,"Camden, NJ (39.945208, -75.118833)",
"El Paso, TX",2016,2,128,,99,,23,,5,,,-,1,,4,,"El Paso, TX (31.76006, -106.492257)",
"Milwaukee, WI",2016,2,101,,63,,35,,2,,1,,,-,2,,"Milwaukee, WI (43.041072, -87.909421)",
"Fort Wayne, IN",2016,2,116,,85,,27,,3,,,-,1,,9,,"Fort Wayne, IN (41.331128, -73.987189)",
"Utica, NY",2016,2,19,,16,,2,,1,,,-,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Tulsa, OK",2016,2,184,,128,,46,,7,,,-,3,,23,,"Tulsa, OK (61.096484, -160.967455)",
"Philadelphia, PA",2016,2,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Jersey City, NJ",2016,2,,U,,U,,U,,U,,U,,U,,U,"Jersey City, NJ (40.717495, -74.044111)",
"Shreveport, LA",2016,2,65,,40,,16,,7,,2,,,-,2,,"Shreveport, LA (32.51424, -93.747757)",
"Cleveland, OH",2016,2,326,,227,,72,,23,,3,,1,,14,,"Cleveland, OH (41.505546, -81.6915)",
"Dayton, OH",2016,2,180,,135,,33,,9,,1,,2,,21,,"Dayton, OH (39.760982, -84.192203)",
"Berkeley, CA",2016,2,14,,9,,4,,1,,,-,,-,1,,"Berkeley, CA (40.692529, -73.990996)",
"Denver, CO",2016,2,51,,31,,12,,5,,1,,2,,2,,"Denver, CO (39.738453, -104.984853)",
"Yonkers, NY",2016,2,27,,21,,5,,,-,1,,,-,4,,"Yonkers, NY (40.932014, -73.896052)",
"Omaha, NE",2016,2,127,,86,,28,,4,,1,,8,,12,,"Omaha, NE (46.07035, -93.666319)",
"St. Louis, MO",2016,2,64,,39,,18,,2,,2,,3,,5,,"St. Louis, MO (38.630276, -90.200309)",
"Wilmington, DE",2016,2,25,,21,,4,,,-,,-,,-,5,,"Wilmington, DE (39.744432, -75.5451)",
"Elizabeth, NJ",2016,2,14,,7,,7,,,-,,-,,-,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Lincoln, NC",2016,2,55,,43,,10,,1,,,-,1,,6,,"Lincoln, NC (40.813599, -96.70261)",
"Ogden, UT",2016,2,29,,26,,1,,2,,,-,,-,3,,"Ogden, UT (41.222761, -111.970419)",
"Atlanta, GA",2016,2,204,,128,,50,,18,,5,,3,,16,,"Atlanta, GA (33.748547, -84.391502)",
"Boise, ID",2016,2,82,,63,,15,,2,,1,,1,,7,,"Boise, ID (43.597772, -83.884521)",
"Chicago, IL",2016,2,278,,174,,72,,18,,8,,6,,13,,"Chicago, IL (41.775002, -87.696388)",
"Chattanooga, TN",2016,2,119,,83,,29,,6,,1,,,-,9,,"Chattanooga, TN (35.045756, -85.308287)",
"Colorado Springs, CO",2016,2,58,,38,,12,,5,,2,,1,,2,,"Colorado Springs, CO (38.835224, -104.819798)",
"Los Angeles, CA",2016,2,375,,250,,89,,26,,6,,4,,38,,"Los Angeles, CA (34.052238, -118.243344)",
"Portland, OR",2016,2,196,,145,,38,,10,,2,,1,,10,,"Portland, OR (45.516018, -122.681425)",
"San Francisco, CA",2016,2,142,,89,,41,,8,,,-,4,,7,,"San Francisco, CA (37.78008, -122.420168)",
"Birmingham, AL",2016,2,207,,143,,40,,17,,3,,4,,24,,"Birmingham, AL (33.522859, -86.807705)",
"Buffalo, NY",2016,2,104,,73,,22,,6,,2,,1,,7,,"Buffalo, NY (39.945422, -78.64671)",
"Lynn, MA",2016,2,9,,7,,2,,,-,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Knoxville, TN",2016,2,148,,103,,37,,4,,3,,1,,12,,"Knoxville, TN (35.962631, -83.916677)",
"Corpus Christi, TX",2016,2,77,,56,,19,,,-,1,,1,,3,,"Corpus Christi, TX (27.796416, -97.404131)",
