New_ID,unlock_date,unlock_cnt
6488,2016-07-25,1
6488,2017-05-03,1
6488,2017-05-03,1
6488,2017-10-28,1
6488,2018-01-24,1
6488,2018-04-29,1
6488,2018-10-25,1
6488,2018-10-27,1
6488,2018-10-28,1
6488,2019-01-26,1
10329,2016-08-24,1
10329,2019-05-20,1
10329,2019-06-27,1
6490,2019-04-06,1
7324,2017-11-06,1
7324,2017-11-14,1
7324,2018-04-28,1
7324,2019-06-09,1
4862,2019-01-27,1
4862,2019-09-17,1
10376,2020-02-06,1
3541,2018-01-16,1
3541,2018-01-22,1
3541,2019-02-18,1
3541,2019-03-11,1
3541,2019-04-14,1
3541,2021-01-14,1
4942,2019-05-11,1
3673,2018-10-13,1
3340,2016-07-07,1
3340,2017-05-21,1
3340,2018-01-14,1
3340,2019-07-14,1
3340,2020-03-07,1
1435,2017-08-27,1
1969,2016-07-27,1
1969,2018-04-30,1
1969,2020-01-15,1
1269,2018-04-24,1
8019,2018-05-23,1
9881,2017-04-10,1
9881,2017-06-08,1
9881,2017-07-27,1
9881,2017-08-22,1
9881,2017-11-23,1
9881,2018-04-16,1
9881,2018-05-26,1
9881,2018-07-07,1
9881,2018-07-15,1
9881,2018-07-21,1
9881,2018-09-01,1
9881,2018-09-21,1
9881,2018-10-30,1
9881,2018-11-23,1
9881,2018-12-21,1
9881,2019-01-05,1
9881,2019-01-10,1
9881,2019-01-26,1
9881,2019-02-09,1
9881,2019-03-02,1
9881,2019-03-03,1
9881,2019-04-21,1
9881,2019-05-01,1
9881,2019-06-13,1
9881,2019-06-28,1
9881,2019-07-16,1
9881,2019-07-20,1
9881,2019-07-22,1
9881,2019-07-24,1
9881,2019-08-01,1
9881,2019-08-06,1
9881,2019-08-06,1
9881,2019-08-07,1
9881,2019-08-14,1
9881,2019-08-22,1
9881,2019-08-28,1
9881,2019-09-09,1
9881,2019-10-20,1
9881,2019-12-01,1
9881,2019-12-29,1
9881,2020-01-24,1
9881,2020-02-01,1
9881,2020-04-19,1
9881,2020-06-24,1
9881,2020-06-29,1
9881,2020-07-05,1
9881,2020-07-13,1
9881,2020-07-26,1
9881,2020-07-26,1
9881,2020-08-11,1
9881,2020-08-12,1
9881,2020-08-27,1
9881,2020-09-17,1
9881,2020-09-20,1
9881,2020-10-12,1
9881,2020-10-18,1
9881,2020-12-18,1
9881,2020-12-21,1
9881,2020-12-24,1
9881,2021-01-23,1
6031,2016-11-18,1
9480,2018-11-26,1
9480,2019-07-27,1
1696,2016-08-28,1
1696,2016-08-29,1
1696,2016-09-12,1
1696,2016-11-02,1
1696,2017-05-05,1
1696,2017-05-06,1
1696,2017-06-19,1
1696,2017-09-22,1
1696,2017-11-01,1
1696,2017-12-20,1
1696,2018-04-15,1
1696,2018-10-10,1
1696,2018-10-12,1
1696,2018-10-13,1
1696,2018-10-17,1
1696,2018-10-23,1
1696,2018-11-03,1
1696,2019-01-10,1
1696,2019-01-19,1
1696,2019-04-23,1
1696,2019-05-07,1
1696,2019-05-16,1
1696,2019-05-19,1
1696,2019-05-19,1
1696,2019-06-20,1
1696,2019-09-04,1
1696,2019-11-14,1
1696,2020-01-08,1
1696,2020-01-08,1
1696,2020-01-10,1
1696,2020-05-07,1
1696,2020-05-10,1
1696,2020-05-10,1
1696,2020-07-08,1
1696,2020-09-04,1
1696,2020-09-07,1
1696,2020-09-13,1
1696,2020-09-22,1
1696,2020-11-29,1
1696,2020-11-29,1
1696,2020-11-29,1
1696,2020-12-24,1
1696,2021-01-13,1
8326,2016-11-21,1
8326,2018-01-17,1
8326,2018-11-15,1
8326,2020-10-29,1
2367,2017-11-30,1
2367,2020-07-08,1
5285,2017-05-06,1
5285,2017-10-03,1
5285,2017-12-01,1
5285,2018-02-20,1
5285,2018-04-08,1
5285,2018-04-08,1
5285,2018-05-02,1
5285,2018-05-06,1
5285,2018-05-30,1
5285,2018-05-30,1
5285,2018-05-31,1
5285,2018-06-24,1
5285,2018-07-07,1
5285,2018-07-22,1
5285,2018-08-03,1
5285,2018-08-26,1
5285,2018-09-02,1
5285,2018-09-02,1
5285,2018-09-05,1
5285,2018-09-08,1
5285,2018-10-02,1
5285,2018-10-03,1
5285,2018-10-06,1
5285,2018-10-06,1
5285,2018-10-06,1
5285,2018-10-07,1
5285,2018-10-07,1
5285,2018-10-07,1
5285,2018-10-14,1
5285,2018-10-17,1
5285,2018-10-21,1
5285,2018-11-01,1
5285,2018-11-01,1
5285,2018-11-01,1
5285,2018-11-15,1
5285,2018-11-26,1
5285,2018-11-27,1
5285,2018-12-02,1
5285,2019-01-01,1
5285,2019-01-02,1
5285,2019-01-06,1
5285,2019-01-06,1
5285,2019-01-10,1
5285,2019-01-14,1
5285,2019-01-28,1
5285,2019-01-30,1
5285,2019-01-31,1
5285,2019-02-02,1
5285,2019-02-03,1
5285,2019-02-03,1
5285,2019-02-08,1
5285,2019-02-20,1
5285,2019-03-04,1
5285,2019-03-05,1
5285,2019-03-07,1
5285,2019-03-09,1
5285,2019-03-10,1
5285,2019-03-10,1
5285,2019-04-10,1
5285,2019-04-28,1
5285,2019-04-29,1
5285,2019-05-02,1
5285,2019-05-05,1
5285,2019-05-05,1
5285,2019-06-02,1
5285,2019-06-02,1
5285,2019-07-07,1
5285,2019-07-07,1
5285,2019-08-04,1
5285,2019-08-04,1
5285,2019-08-04,1
5285,2019-08-25,1
5285,2019-08-29,1
5285,2019-08-31,1
5285,2019-09-01,1
5285,2019-10-20,1
5285,2019-10-28,1
5285,2019-11-03,1
5285,2020-01-01,1
5285,2020-01-10,1
5285,2020-05-07,1
5285,2020-05-07,1
10142,2016-06-15,1
10142,2016-06-15,1
10142,2016-10-20,1
10142,2017-10-15,1
10142,2017-10-25,1
10142,2017-12-07,1
10142,2018-02-15,1
10142,2018-06-13,1
10142,2018-06-14,1
10142,2018-06-21,1
10142,2018-06-21,1
10142,2018-06-22,1
10142,2018-10-09,1
10142,2018-10-18,1
10142,2018-10-18,1
10142,2018-10-19,1
10142,2018-10-22,1
10142,2018-12-12,1
10142,2019-02-04,1
10142,2019-02-05,1
10142,2019-02-10,1
10142,2019-02-14,1
10142,2019-02-14,1
10142,2019-02-14,1
10142,2019-02-14,1
10142,2019-02-14,1
10142,2019-02-15,1
10142,2019-02-25,1
10142,2019-03-26,1
10142,2019-03-27,1
10142,2019-06-09,1
10142,2019-06-12,1
10142,2019-06-21,1
10142,2019-09-14,1
10142,2019-09-30,1
10142,2019-10-09,1
10142,2019-10-21,1
10142,2019-12-09,1
10142,2019-12-15,1
10142,2020-02-05,1
10142,2020-02-29,1
10142,2020-03-01,1
10142,2020-03-04,1
10142,2020-03-04,1
10142,2020-03-06,1
10142,2020-03-19,1
10142,2020-03-19,1
10142,2020-04-14,1
10142,2020-04-14,1
10142,2020-04-15,1
10142,2020-04-15,1
10142,2020-04-17,1
10142,2020-04-25,1
10142,2020-06-24,1
10142,2020-07-31,1
10142,2020-07-31,1
10142,2020-10-20,1
10142,2020-11-24,1
10142,2020-12-07,1
10142,2020-12-07,1
10142,2020-12-14,1
10142,2020-12-14,1
10142,2020-12-17,1
10142,2020-12-17,1
8281,2016-11-29,1
8281,2017-03-15,1
8281,2017-06-08,1
8281,2017-06-08,1
8281,2018-03-24,1
8281,2019-03-21,1
8281,2019-03-22,1
8281,2019-05-02,1
8281,2019-08-11,1
8281,2019-08-13,1
8281,2019-09-08,1
8281,2019-09-09,1
8281,2019-09-09,1
8281,2020-04-08,1
8281,2020-04-14,1
8281,2020-06-12,1
4624,2020-07-01,1
3956,2017-01-09,1
3956,2017-03-14,1
3956,2017-10-08,1
3956,2017-11-14,1
3956,2018-05-09,1
3956,2018-11-06,1
3956,2018-11-30,1
3956,2019-01-30,1
3956,2019-04-07,1
3956,2019-04-27,1
3956,2019-04-29,1
3956,2019-07-05,1
3956,2019-10-11,1
3956,2019-11-15,1
3956,2020-03-25,1
3956,2020-03-31,1
3956,2020-07-12,1
6681,2016-07-22,1
6681,2017-12-04,1
6681,2019-04-10,1
7150,2016-09-13,1
7150,2016-11-05,1
7150,2016-11-08,1
7150,2017-10-06,1
7150,2018-09-12,1
7150,2018-09-28,1
7150,2018-10-07,1
7150,2018-10-07,1
7150,2018-11-04,1
7150,2019-01-29,1
7150,2019-10-03,1
7150,2020-01-08,1
7150,2020-02-12,1
7150,2020-06-04,1
7150,2020-10-07,1
2542,2017-10-09,1
6268,2016-12-02,1
6268,2019-11-19,1
7547,2018-02-18,1
7547,2018-03-15,1
7547,2018-04-05,1
7547,2018-07-30,1
7547,2018-11-20,1
7547,2018-12-09,1
7547,2019-06-13,1
7547,2019-06-19,1
7547,2019-06-25,1
7547,2019-09-11,1
7547,2019-10-16,1
7547,2020-02-22,1
7547,2020-07-01,1
7547,2020-07-19,1
7547,2020-07-19,1
7547,2020-09-13,1
7547,2020-10-13,1
7547,2020-10-17,1
7547,2020-12-01,1
7547,2021-01-16,1
8473,2020-08-13,1
1716,2017-04-26,1
1716,2017-05-31,1
